Id,DestIP,DestPort,SourceIP,SourcePort,PacketSize,Interval,TestDuration,StaticsMaxTH,TTL,DSCP,TestDateTime,FinishTestTime,Status,StoRDelayMean,RtoSDelayMean,RTTDelayMean,StoRDelayMax,RtoSDelayMax,RTTDelayMax,StoRDelayMaxTH,RtoSDelayMaxTH,RTTDelayMaxTH,StoRDelayMin,RtoSDelayMin,RTTDelayMin,StoRJitterMax,RtoSJitterMax,StoRJitterMaxTH,RtoSJitterMaxTH,StoRPacketLoss,RtoSPacketLoss,RTTPacketLoss
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T08:44:00.007Z,,finish,0,0,942,0,0,1168,0,0,1039,0,0,770,261,108,134,76,0,0,0
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T08:49:00.008Z,,finish,0,0,921,0,0,1230,0,0,998,0,0,730,217,159,132,82,0,0,0
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T08:54:00.009Z,,finish,0,0,995,0,0,3194,0,0,1057,0,0,797,219,2243,136,67,0,0,0
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T08:59:00.010Z,,finish,0,0,916,0,0,1703,0,0,1018,0,0,729,726,110,155,76,0,0,0
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T09:04:00.009Z,,finish,0,0,1002,0,0,1153,0,0,1103,0,0,765,189,193,133,76,0,0,0
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T09:09:00.008Z,,finish,0,0,1024,0,0,1489,0,0,1143,0,0,755,395,169,171,90,0,0,0
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T09:14:00.008Z,,finish,0,0,1001,0,0,2356,0,0,1097,0,0,713,1367,104,150,72,0,0,0
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T09:19:00.008Z,,finish,0,0,940,0,0,2308,0,0,1066,0,0,720,316,1395,183,66,0,0,0
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T09:24:00.008Z,,finish,0,0,904,0,0,1167,0,0,996,0,0,751,211,165,134,81,0,0,0
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T09:29:00.007Z,,finish,0,0,913,0,0,1323,0,0,1012,0,0,671,175,153,104,73,0,0,0
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T09:34:00.009Z,,finish,0,0,925,0,0,4448,0,0,1000,0,0,722,3536,432,99,76,0,0,0
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T09:39:00.008Z,,finish,0,0,933,0,0,1297,0,0,1015,0,0,797,231,95,116,63,0,0,0
vQOScp_vOLTdp,192.170.205.212,884,,,100,0.1,20,10,20,1,2022-06-27T09:44:00.008Z,,finish,0,0,979,0,0,2862,0,0,1063,0,0,808,288,1927,126,81,0,0,0
