2022 06-30, 05:14, 0.83 ms , 949.01 Mbps , 925.96 Mbps ,
2022 06-30, 05:44, 0.82 ms , 947.33 Mbps , 948.78 Mbps ,
2022 06-30, 06:15, 0.82 ms , 950.60 Mbps , 948.79 Mbps ,
2022 06-30, 06:45, 0.83 ms , 950.07 Mbps , 946.99 Mbps ,
2022 06-30, 07:15, 0.81 ms , 949.01 Mbps , 948.74 Mbps ,
2022 06-30, 07:45, 0.93 ms , 949.12 Mbps , 940.36 Mbps ,
2022 06-30, 08:15, 0.90 ms , 945.42 Mbps , FAILED ,
2022 06-30, 08:46, 0.82 ms , 949.05 Mbps , 289.70 Mbps ,
2022 06-30, 09:16, 0.81 ms , 947.71 Mbps , 0.65 Mbps ,
2022 06-30, 09:46, 0.86 ms , 950.89 Mbps , 540.18 Mbps ,
2022 06-30, 10:16, 0.89 ms , 948.72 Mbps , 461.88 Mbps ,
2022 06-30, 10:47, 0.75 ms , 951.15 Mbps , 948.36 Mbps ,
2022 06-30, 11:17, 0.84 ms , 947.96 Mbps , 945.91 Mbps ,
2022 06-30, 11:47, 0.94 ms , 950.99 Mbps , 943.78 Mbps ,
2022 06-30, 12:17, 0.85 ms , 948.75 Mbps , 878.69 Mbps ,
2022 06-30, 12:48, 0.82 ms , 948.35 Mbps , 1.13 Mbps ,
2022 06-30, 13:18, 0.89 ms , 947.28 Mbps , FAILED ,
2022 06-30, 13:48, 0.85 ms , 949.43 Mbps , 948.64 Mbps ,
2022 06-30, 14:18, 0.87 ms , 948.33 Mbps , 572.01 Mbps ,
2022 06-30, 14:49, 0.58 ms , 949.17 Mbps , 947.77 Mbps ,
2022 06-30, 15:19, 0.81 ms , 949.91 Mbps , 948.68 Mbps ,
2022 06-30, 15:49, 0.86 ms , 949.13 Mbps , 948.57 Mbps ,
2022 06-30, 16:19, 0.82 ms , 947.88 Mbps , 948.91 Mbps ,
2022 06-30, 16:50,
2022 06-30, 17:20, 0.73 ms , 950.56 Mbps , 947.50 Mbps ,
2022 06-30, 17:50, 0.76 ms , 951.04 Mbps , 265.61 Mbps ,
2022 06-30, 18:20, 0.95 ms , 950.31 Mbps , 0.09 Mbps ,
